DF,Columna,Tipo_antes,Tipo_despues
athletes_df,athlete_id,object,object
athletes_df,birthdate,datetime64[ns],datetime64[ns]
athletes_df,club,object,object
athletes_df,gender,object,object
athletes_df,name,object,object
athletes_df,nationality,object,object
athletes_df,race_id,object,object
athletes_df,surname,object,object
athletes_events_df,athlete_id,object,object
athletes_events_df,auto_category,bool,bool
athletes_events_df,auto_chip,bool,bool
athletes_events_df,category,object,object
athletes_events_df,distance,int64,int64
athletes_events_df,dorsal,object,object
athletes_events_df,event_id,object,object
athletes_events_df,gunTime,"datetime64[ns, UTC]","datetime64[ns, UTC]"
athletes_events_df,gunTimeMode,object,object
athletes_events_df,gunTimeModeConfig_wave,object,object
athletes_events_df,last_split_seen,object,object
athletes_events_df,race_id,object,object
athletes_events_df,realStatus,object,object
athletes_events_df,splitsMissing,int64,int64
athletes_events_df,splitsSeen,int64,int64
athletes_events_df,startNetTime,float64,float64
athletes_events_df,startRawTime,datetime64[ns],datetime64[ns]
athletes_events_df,startTime,float64,float64
athletes_events_df,status,object,object
athletes_events_df,team,object,object
athletes_events_df,event_std,object,object
athletes_events_df,startNetTime_td,timedelta64[ns],timedelta64[ns]
athletes_events_df,startTime_td,timedelta64[ns],timedelta64[ns]
athletes_time_df,athlete_id,object,object
athletes_time_df,average,float64,float64
athletes_time_df,distance,int64,int64
athletes_time_df,event_id,object,object
athletes_time_df,incidence,object,object
athletes_time_df,isBackup,object,object
athletes_time_df,netTime,float64,float64
athletes_time_df,offset,float64,float64
athletes_time_df,order,int64,int64
athletes_time_df,race_id,object,object
athletes_time_df,rawTime,datetime64[ns],datetime64[ns]
athletes_time_df,split,object,object
athletes_time_df,time,int64,int64
athletes_time_df,event_std,object,object
athletes_time_df,netTime_td,timedelta64[ns],timedelta64[ns]
athletes_time_df,time_td,timedelta64[ns],timedelta64[ns]
issues_df,athlete_id,object,object
issues_df,event_id,object,object
issues_df,issue_id,object,object
issues_df,race_id,object,object
issues_df,time,datetime64[ns],datetime64[ns]
issues_df,type,object,object
issues_df,event_std,object,object
issues_data_df,athlete_id,object,object
issues_data_df,data_Dorsal entregado,object,object
issues_data_df,data_LICENCIA,object,object
issues_data_df,data_Licencia,object,object
issues_data_df,data_MEDALLA,object,object
issues_data_df,data_TALLA,object,object
issues_data_df,data_TIEMPO ESTIMADO,object,object
issues_data_df,data_Teléfono emergencia,object,object
issues_data_df,data_birthdate,datetime64[ns],datetime64[ns]
issues_data_df,data_club,object,object
issues_data_df,data_document,object,object
issues_data_df,data_e-mail,object,object
issues_data_df,data_gender,object,object
issues_data_df,data_name,object,object
issues_data_df,data_nationality,object,object
issues_data_df,data_pais,object,object
issues_data_df,data_phone,object,object
issues_data_df,data_statusNote,object,object
issues_data_df,data_surname,object,object
issues_data_df,event_id,object,object
issues_data_df,issue_id,object,object
issues_data_df,race_id,object,object
issues_data_df,event_std,object,object
issues_events_df,athlete_id,object,object
issues_events_df,data_events_attributes_ADVENTURE,object,object
issues_events_df,data_events_attributes_D. Fisico/Intelectual,object,object
issues_events_df,data_events_attributes_Discapacitado intelectual,object,object
issues_events_df,data_events_attributes_Discapacitado visual,object,object
issues_events_df,data_events_attributes_Españoles,object,object
issues_events_df,data_events_attributes_Fed. AD Maratón,object,object
issues_events_df,data_events_attributes_Sillas,object,object
issues_events_df,data_events_auto_category,object,object
issues_events_df,data_events_auto_chip,object,object
issues_events_df,data_events_category,object,object
issues_events_df,data_events_dorsal,object,object
issues_events_df,data_events_gunTime,"datetime64[ns, UTC]","datetime64[ns, UTC]"
issues_events_df,data_events_gunTimeMode,object,object
issues_events_df,data_events_gunTimeModeConfig_wave,object,object
issues_events_df,data_events_status,object,object
issues_events_df,data_events_team,object,object
issues_events_df,data_events_times_10K_time,object,object
issues_events_df,data_events_times_15K_time,object,object
issues_events_df,data_events_times_19K_time,object,object
issues_events_df,data_events_times_20K_time,object,object
issues_events_df,data_events_times_5K_time,object,object
issues_events_df,data_events_times_CP3_time,object,object
issues_events_df,data_events_times_CP4_time,object,object
issues_events_df,data_events_times_EH2_time,object,object
issues_events_df,data_events_times_Meta_time,object,object
issues_events_df,data_events_times_Salida_time,object,object
issues_events_df,event_id,object,object
issues_events_df,issue_id,object,object
issues_events_df,race_id,object,object
issues_events_df,event_std,object,object
issues_times_df,athlete_id,object,object
issues_times_df,event_id,object,object
issues_times_df,issue_id,object,object
issues_times_df,race_id,object,object
issues_times_df,split,object,object
issues_times_df,time,int64,int64
issues_times_df,event_std,object,object
issues_times_df,time_td,timedelta64[ns],timedelta64[ns]
